"﻿advance";"notes";"price";"pub_id";"pubdate";"royalty";"title";"title_id";"type";"ytd_sales"
"$0.00";"\"Favorite recipes for quick";" easy";" and elegant meals.\"";"$19.99";"0877";"6/9/1991 12:00:00 AM";"12";"Silicon Valley Gastronomic Treats";"MC2222"
"\"$2";"000.00\"";"What happens when the data runs dry?  Searching evaluations of information-shortage effects.";"$19.99";"0736";"6/12/1991 12:00:00 AM";"10";"Prolonged Data Deprivation: Four Case Studies";"PS3333";"psychology"
"\"$2";"275.00\"";"Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.";"$10.95";"0736";"6/15/1991 12:00:00 AM";"12";"Is Anger the Enemy?";"PS2091";"psychology"
"\"$4";"000.00\"";"\"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes";" techniques";" tender vignettes.\"";"$11.95";"0877";"6/12/1991 12:00:00 AM";"14";"Fifty Years in Buckingham Palace Kitchens"
"\"$4";"000.00\"";"Protecting yourself and your loved ones from undue emotional stress in the modern world. Use of computer and nutritional aids emphasized.";"$7.99";"0736";"6/12/1991 12:00:00 AM";"10";"Emotional Security: A New Algorithm";"PS7777";"psychology"
"\"$5";"000.00\"";"An overview of available database systems with emphasis on common business applications. Illustrated.";"$19.99";"1389";"6/12/1991 12:00:00 AM";"10";"\"The Busy Executive's Database Guide\"";"BU1032";"business"
"\"$5";"000.00\"";"Annotated analysis of what computers can do for you: a no-hype guide for the critical user.";"$19.99";"1389";"6/22/1991 12:00:00 AM";"10";"Straight Talk About Computers";"BU7832";"business"
"\"$5";"000.00\"";"Helpful hints on how to use your electronic resources to the best advantage.";"$11.95";"1389";"6/9/1991 12:00:00 AM";"10";"Cooking with Computers: Surreptitious Balance Sheets";"BU1111";"business"
"\"$6";"000.00\"";"\"New exercise";" meditation";" and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included";" exercise video available separately.\"";"$7.00";"0736";"10/5/1991 12:00:00 AM";"10"
"\"$7";"000.00\"";"\"A must for the specialist";" this book examines the difference between those who hate and fear computers and those who don't.\"";"$21.59";"0877";"10/21/1991 12:00:00 AM";"10";"Computer Phobic AND Non-Phobic Individuals: Behavior Variations";"PS1372"
"\"$7";"000.00\"";"\"A survey of software for the naive user";" focusing on the 'friendliness' of each.\"";"$22.95";"1389";"6/30/1991 12:00:00 AM";"16";"But Is It User Friendly?";"PC1035"
"\"$7";"000.00\"";"\"Profusely illustrated in color";" this makes a wonderful gift book for a cuisine-oriented friend.\"";"$20.95";"0877";"10/21/1991 12:00:00 AM";"10";"\"Onions";" Leeks"
"\"$8";"000.00\"";"Detailed instructions on how to make authentic Japanese sushi in your spare time.";"$14.99";"0877";"6/12/1991 12:00:00 AM";"10";"\"Sushi";" Anyone?\"";"TC7777"
"\"$8";"000.00\"";"\"Muckraking reporting on the world's largest computer hardware and software manufacturers.\"";"$20.00";"1389";"6/12/1994 12:00:00 AM";"10";"Secrets of Silicon Valley";"PC8888";"popular_comp"
"\"$10";"125.00\"";"The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.";"$2.99";"0736";"6/30/1991 12:00:00 AM";"24";"You Can Combat Computer Stress!";"BU2075";"business"
"\"$15";"000.00\"";"Traditional French gourmet recipes adapted for modern microwave cooking.";"$2.99";"0877";"6/18/1991 12:00:00 AM";"24";"The Gourmet Microwave";"MC3021";"mod_cook"
"";"A must-read for computer conferencing.";"";"1389";"";"";"Net Etiquette";"PC9999";"popular_comp";""
"";"";"";"0877";"";"";"The Psychology of Computer Cooking";"MC3026";"UNDECIDED";""
